,treat,species,seedlings,treeid
978,far,premna,0,r2.premna
979,far,premna,1,r2.premna
980,far,premna,1,r2.premna
981,far,premna,1,r2.premna
982,far,premna,1,r2.premna
983,far,premna,1,r2.premna
984,far,premna,1,r2.premna
985,far,premna,0,r2.premna
986,far,premna,1,r2.premna
987,far,premna,1,r2.premna
988,far,premna,1,r2.premna
989,far,premna,1,r2.premna
990,far,premna,0,r2.premna
991,far,premna,1,r2.premna
992,far,premna,1,r2.premna
993,far,premna,1,r2.premna
994,far,premna,0,r2.premna
995,far,premna,1,r2.premna
996,far,premna,1,r2.premna
997,far,premna,1,r2.premna
1057,near,premna,1,a1.premna
1058,near,premna,1,r1.premna
1059,near,premna,0,a2.premna
1060,near,premna,0,a2.premna
1061,near,premna,1,r2.premna
1062,near,premna,1,r2.premna
1063,near,premna,1,r2.premna
1064,near,premna,0,r2.premna
1065,near,premna,0,r2.premna
1066,near,premna,1,r2.premna
1067,near,premna,1,r2.premna
1068,near,premna,1,r2.premna
1069,near,premna,1,r2.premna
1070,near,premna,1,r2.premna
1071,near,premna,0,r2.premna
1072,near,premna,1,r2.premna
1073,near,premna,0,r2.premna
1074,near,premna,1,r2.premna
1075,near,premna,0,r2.premna
1076,near,premna,1,r2.premna
1077,near,premna,1,r2.premna
1078,near,premna,1,r2.premna
1079,near,premna,1,r2.premna
1080,near,premna,0,r2.premna
1081,near,premna,0,r2.premna
1082,near,premna,1,r2.premna
1083,near,premna,1,r2.premna
1084,near,premna,0,r2.premna
1085,near,premna,0,r2.premna
1086,near,premna,0,r2.premna
1087,near,premna,1,r2.premna
1088,near,premna,0,r2.premna
1089,near,premna,1,r2.premna
1260,far,psycho,0,m4.psycho
1261,far,psycho,0,m4.psycho
1262,far,psycho,0,m4.psycho
1263,far,psycho,0,m2.psycho
1264,far,psycho,0,m2.psycho
1265,far,psycho,1,m3.psycho
1266,far,psycho,0,m3.psycho
1267,far,psycho,0,m3.psycho
1268,far,psycho,0,m1.psycho
1270,far,psycho,0,m3.psycho
1280,far,psycho,0,m1.psycho
1282,far,psycho,1,m1.psycho
1283,far,psycho,0,m1.psycho
1284,far,psycho,0,m1.psycho
1285,far,psycho,0,m1.psycho
1286,far,psycho,0,m2.psycho
1287,far,psycho,0,m3.psycho
1288,far,psycho,0,m2.psycho
1289,far,psycho,0,m2.psycho
1290,far,psycho,0,m1.psycho
1297,far,psycho,0,m4.psycho
1300,far,psycho,0,m1.psycho
1301,far,psycho,0,m3.psycho
1302,far,psycho,0,m3.psycho
1305,far,psycho,0,m2.psycho
1307,far,psycho,0,m4.psycho
1308,far,psycho,0,m3.psycho
1310,far,psycho,0,m1.psycho
1311,far,psycho,0,m1.psycho
1312,far,psycho,0,m2.psycho
1313,far,psycho,0,m1.psycho
1314,far,psycho,0,m4.psycho
1315,far,psycho,0,m2.psycho
1317,far,psycho,0,m2.psycho
1318,far,psycho,0,m2.psycho
1319,far,psycho,0,m2.psycho
1320,far,psycho,0,m2.psycho
1321,far,psycho,0,m2.psycho
1322,far,psycho,0,m3.psycho
1323,far,psycho,0,m3.psycho
1324,far,psycho,0,m1.psycho
1326,far,psycho,0,m2.psycho
1327,far,psycho,1,m2.psycho
