,X,species,disp,island,site,fence,numalive,avgcover,avgopen,dist,numseedplant,centavgopen
26,27,aglaia,no,guam,ritd,C2,10,93.25,6.75,near,10,-2.371369295
27,28,aglaia,no,guam,ritd,D2,10,92,8,far,10,-1.121369295
28,29,aglaia,no,guam,ritd,D4A,10,92,8,near,10,-1.121369295
29,30,aglaia,no,guam,ritd,E2,9,87.75,12.25,far,10,3.128630705
30,31,aglaia,no,guam,ritd,E3,10,91,9,far,10,-0.121369295
31,32,aglaia,no,guam,ritd,A4,9,91.5,8.5,near,10,-0.621369295
32,33,aglaia,no,guam,sblas,C1,10,91.5,8.5,near,10,-0.621369295
33,34,aglaia,no,guam,sblas,E2A,10,94,6,near,10,-3.121369295
34,35,aglaia,no,guam,sblas,B3A,10,88,12,far,10,2.878630705
35,36,aglaia,no,guam,sblas,D0A,9,91,9,near,10,-0.121369295
36,37,aglaia,no,guam,sblas,D2,5,92.25,7.75,near,10,-1.371369295
37,38,aglaia,no,guam,sblas,B0,8,88.5,11.5,far,10,2.378630705
38,39,aglaia,no,guam,sblas,A3,10,85.25,14.75,far,10,5.628630705
39,40,aglaia,no,guam,sblas,A1A,8,94.75,5.25,far,10,-3.871369295
40,41,aglaia,yes,rota,grvpt,E2,7,90.75,9.25,near,10,0.128630705
41,42,aglaia,yes,rota,grvpt,B1,9,91,9,near,10,-0.121369295
42,43,aglaia,yes,rota,grvpt,A2,3,91.5,8.5,near,10,-0.621369295
43,44,aglaia,yes,rota,grvpt,E3,7,91.75,8.25,far,10,-0.871369295
44,45,aglaia,yes,rota,grvpt,C0,8,93.5,6.5,near,10,-2.621369295
45,46,aglaia,yes,rota,grvpt,D3,7,92.5,7.5,far,10,-1.621369295
46,47,aglaia,yes,rota,grvpt,D2,7,88.25,11.75,far,10,2.628630705
47,48,aglaia,yes,rota,grvpt,D0,7,91.5,8.5,far,10,-0.621369295
48,49,aglaia,yes,rota,isa,D2,8,92,8,far,10,-1.121369295
49,50,aglaia,yes,rota,isa,A4,7,82.75,17.25,far,10,8.128630705
50,51,aglaia,yes,rota,isa,B4,7,82.5,17.5,far,10,8.378630705
51,52,aglaia,yes,rota,isa,A2,3,91,9,near,10,-0.121369295
52,53,aglaia,yes,rota,isa,B0,8,74.75,25.25,near,10,16.12863071
53,54,aglaia,yes,rota,isa,C3,9,87.5,12.5,near,10,3.378630705
54,55,aglaia,yes,rota,isa,D3,7,90.5,9.5,near,10,0.378630705
55,56,aglaia,yes,rota,isa,B2,6,92.25,7.75,far,10,-1.371369295
56,57,aglaia,yes,rota,palii,C0,10,93.25,6.75,near,10,-2.371369295
57,58,aglaia,yes,rota,palii,B3,9,90.25,9.75,far,10,0.628630705
58,59,aglaia,yes,rota,palii,B0,7,92.75,7.25,near,10,-1.871369295
59,60,aglaia,yes,rota,palii,C1,8,92.75,7.25,near,10,-1.871369295
60,61,aglaia,yes,rota,palii,C2,7,92.75,7.25,far,10,-1.871369295
61,62,aglaia,yes,rota,palii,A3,10,88,12,far,10,2.878630705
62,63,aglaia,yes,rota,palii,A2,9,91.75,8.25,near,10,-0.871369295
63,64,aglaia,yes,rota,palii,D2,8,90.5,9.5,far,10,0.378630705
64,65,aglaia,yes,saipan,forb,E1,3,93.75,6.25,far,10,-2.871369295
65,66,aglaia,yes,saipan,forb,E0B,9,94.5,5.5,far,10,-3.621369295
66,67,aglaia,yes,saipan,forb,D1,8,95,5,far,10,-4.121369295
67,68,aglaia,yes,saipan,forb,C0A,9,91.25,8.75,near,10,-0.371369295
68,69,aglaia,yes,saipan,forb,C2A,6,92.75,7.25,near,10,-1.871369295
69,70,aglaia,yes,saipan,forb,D2,9,93.75,6.25,far,10,-2.871369295
70,71,aglaia,yes,saipan,forb,S6,5,90.5,9.5,near,10,0.378630705
71,72,aglaia,yes,saipan,forb,A4B,10,88.25,11.75,near,10,2.628630705
72,73,aglaia,yes,saipan,ladt,B3A,7,90,10,far,10,0.878630705
73,74,aglaia,yes,saipan,ladt,D4B,9,93.25,6.75,near,10,-2.371369295
74,75,aglaia,yes,saipan,ladt,D4A,7,93.25,6.75,near,10,-2.371369295
75,76,aglaia,yes,saipan,ladt,S8,6,92.25,7.75,near,10,-1.371369295
76,77,aglaia,yes,saipan,ladt,D3,7,92.75,7.25,far,10,-1.871369295
77,78,aglaia,yes,saipan,ladt,A3A,3,94.25,5.75,far,10,-3.371369295
78,79,aglaia,yes,saipan,ladt,B0,10,93,7,far,10,-2.121369295
79,80,aglaia,yes,saipan,ladt,S8A,9,94,6,near,10,-3.121369295
80,81,aglaia,yes,saipan,mtr1,D4,9,93.5,6.5,near,10,-2.621369295
81,82,aglaia,yes,saipan,mtr1,C2,9,90.75,9.25,far,10,0.128630705
82,83,aglaia,yes,saipan,mtr1,B1A,9,91.25,8.75,far,10,-0.371369295
83,84,aglaia,yes,saipan,mtr1,C0A,10,91.25,8.75,near,10,-0.371369295
84,85,aglaia,yes,saipan,mtr1,E2A,10,86,14,near,10,4.878630705
85,86,aglaia,yes,saipan,mtr1,A4A,10,92.75,7.25,near,10,-1.871369295
86,87,aglaia,yes,saipan,mtr1,E0A,7,93.5,6.5,far,10,-2.621369295
87,88,aglaia,yes,saipan,mtr1,C3A,9,89.5,10.5,far,10,1.378630705
96,97,aglaia,yes,tinian,japc,B2,10,92.75,7.25,far,10,-1.871369295
97,98,aglaia,yes,tinian,japc,B3A,9,92.25,7.75,far,10,-1.371369295
98,99,aglaia,yes,tinian,japc,D4,9,94.25,5.75,near,10,-3.371369295
99,100,aglaia,yes,tinian,japc,C2A,9,93,7,near,10,-2.121369295
100,101,aglaia,yes,tinian,japc,E3,10,91.25,8.75,far,10,-0.371369295
101,102,aglaia,yes,tinian,japc,A3A,10,90,10,far,10,0.878630705
102,103,aglaia,yes,tinian,japc,C4,10,94.25,5.75,near,10,-3.371369295
104,105,aglaia,yes,tinian,nlasu,B0,10,92.25,7.75,far,10,-1.371369295
105,106,aglaia,yes,tinian,nlasu,A0B,10,92.75,7.25,near,10,-1.871369295
106,107,aglaia,yes,tinian,nlasu,E0B,10,93.75,6.25,near,10,-2.871369295
107,108,aglaia,yes,tinian,nlasu,A4,10,87.5,12.5,far,10,3.378630705
108,109,aglaia,yes,tinian,nlasu,B1,10,93.25,6.75,far,10,-2.371369295
109,110,aglaia,yes,tinian,nlasu,A0A,10,93.25,6.75,near,10,-2.371369295
110,111,aglaia,yes,tinian,nlasu,E0A,10,92.5,7.5,near,10,-1.621369295
111,112,aglaia,yes,tinian,nlasu,B4,9,93,7,far,10,-2.121369295
287,288,papaya,no,guam,nblas,E0,2,94,6,far,10,-3.121369295
288,289,papaya,no,guam,nblas,S8,5,91.75,8.25,near,10,-0.871369295
289,290,papaya,no,guam,nblas,S7,10,89.5,10.5,near,10,1.378630705
290,291,papaya,no,guam,nblas,D0,6,85.75,14.25,far,10,5.128630705
291,292,papaya,no,guam,nblas,A4,0,89.5,10.5,far,10,1.378630705
292,293,papaya,no,guam,nblas,B4,8,93.5,6.5,far,10,-2.621369295
293,294,papaya,no,guam,race,S11,1,90,10,near,10,0.878630705
294,295,papaya,no,guam,race,S10,0,91.25,8.75,near,10,-0.371369295
295,296,papaya,no,guam,race,A0,0,89.75,10.25,far,10,1.128630705
296,297,papaya,no,guam,race,D2,8,93.25,6.75,far,10,-2.371369295
297,298,papaya,no,guam,race,E1,1,93.75,6.25,far,10,-2.871369295
298,299,papaya,no,guam,race,D1,3,91.75,8.25,near,10,-0.871369295
299,300,papaya,yes,rota,grvpt,D3B,0,93.75,6.25,near,9,-2.871369295
300,301,papaya,yes,rota,grvpt,B1,0,91,9,far,9,-0.121369295
301,302,papaya,yes,rota,grvpt,B2,0,92.25,7.75,far,9,-1.371369295
302,303,papaya,yes,rota,grvpt,E4B,0,90.5,9.5,near,9,0.378630705
303,304,papaya,yes,rota,grvpt,E4,0,94,6,near,9,-3.121369295
304,305,papaya,yes,rota,grvpt,D3,0,92.5,7.5,near,9,-1.621369295
305,306,papaya,yes,rota,grvpt,C2,0,88,12,far,9,2.878630705
306,307,papaya,yes,rota,grvpt,D4,0,90.5,9.5,far,9,0.378630705
307,308,papaya,yes,rota,palii,D3,5,92.25,7.75,far,9,-1.371369295
308,309,papaya,yes,rota,palii,E3,1,93.75,6.25,near,9,-2.871369295
309,310,papaya,yes,rota,palii,E1,7,93.5,6.5,far,9,-2.621369295
310,311,papaya,yes,rota,palii,D1,2,93.25,6.75,near,9,-2.371369295
311,312,papaya,yes,rota,palii,A1,1,91.75,8.25,far,8,-0.871369295
312,313,papaya,yes,saipan,forb,E3,5,73.25,26.75,near,10,17.62863071
313,314,papaya,yes,saipan,forb,S2,0,93,7,near,10,-2.121369295
314,315,papaya,yes,saipan,forb,D3,0,92,8,near,10,-1.121369295
315,316,papaya,yes,saipan,forb,A2,2,84.25,15.75,far,10,6.628630705
316,317,papaya,yes,saipan,forb,A1,0,93,7,far,10,-2.121369295
317,318,papaya,yes,saipan,forb,B1,0,93.5,6.5,far,10,-2.621369295
318,319,papaya,yes,saipan,forb,C4,0,92.5,7.5,near,10,-1.621369295
319,320,papaya,yes,saipan,mtr1,A0,0,91,9,far,10,-0.121369295
320,321,papaya,yes,saipan,mtr1,B2,0,88,12,far,10,2.878630705
321,322,papaya,yes,saipan,mtr1,D1A,0,91,9,near,10,-0.121369295
322,323,papaya,yes,saipan,mtr1,S3,3,82,18,near,10,8.878630705
323,324,papaya,yes,saipan,mtr1,B4,0,90,10,near,10,0.878630705
324,325,papaya,yes,saipan,mtr1,D1B,2,94,6,near,10,-3.121369295
332,333,papaya,yes,tinian,japc,A0,6,90.75,9.25,far,10,0.128630705
333,334,papaya,yes,tinian,japc,A3,0,88.75,11.25,near,10,2.128630705
334,335,papaya,yes,tinian,japc,D3,0,94,6,far,10,-3.121369295
335,336,papaya,yes,tinian,japc,A4,0,91.5,8.5,near,10,-0.621369295
336,337,papaya,yes,tinian,japc,C1,9,94.75,5.25,far,10,-3.871369295
337,338,papaya,yes,tinian,japc,C3,0,91.75,8.25,far,10,-0.871369295
338,339,papaya,yes,tinian,japc,S13,0,92.25,7.75,near,10,-1.371369295
339,340,papaya,yes,tinian,japc,S11,0,84.25,15.75,near,10,6.628630705
340,341,premna,no,guam,anao,D0,10,94.25,5.75,far,10,-3.371369295
341,342,premna,no,guam,anao,S9,9,89.75,10.25,near,10,1.128630705
342,343,premna,no,guam,anao,B1,9,90.5,9.5,near,10,0.378630705
343,344,premna,no,guam,anao,S10,10,82.5,17.5,far,10,8.378630705
344,345,premna,no,guam,anao,S8,8,93.25,6.75,far,10,-2.371369295
345,346,premna,no,guam,anao,E2,2,94,6,far,10,-3.121369295
346,347,premna,no,guam,anao,A4A,8,89.5,10.5,near,10,1.378630705
347,348,premna,no,guam,anao,B4A,9,93,7,near,10,-2.121369295
348,349,premna,no,guam,nblas,C2A,1,90.25,9.75,near,10,0.628630705
349,350,premna,no,guam,nblas,E3,10,85.5,14.5,far,10,5.378630705
350,351,premna,no,guam,nblas,S9,0,92.75,7.25,near,10,-1.871369295
351,352,premna,no,guam,nblas,E2A,0,93.5,6.5,far,10,-2.621369295
352,353,premna,no,guam,nblas,S3,6,92.75,7.25,near,10,-1.871369295
353,354,premna,no,guam,nblas,S14,3,89.75,10.25,near,10,1.128630705
354,355,premna,no,guam,nblas,E2,0,94.25,5.75,far,10,-3.371369295
355,356,premna,no,guam,nblas,E3A,9,87.25,12.75,far,10,3.628630705
356,357,premna,no,guam,race,B1,4,94,6,far,10,-3.121369295
357,358,premna,no,guam,race,B0,10,87.25,12.75,far,10,3.628630705
358,359,premna,no,guam,race,C0,8,93,7,far,10,-2.121369295
359,360,premna,no,guam,race,A3,5,92.75,7.25,near,10,-1.871369295
360,361,premna,no,guam,race,E0,9,91.75,8.25,near,10,-0.871369295
361,362,premna,no,guam,race,E1,2,93.75,6.25,near,10,-2.871369295
362,363,premna,no,guam,race,E2,0,92.5,7.5,near,10,-1.621369295
363,364,premna,no,guam,race,D4,10,87.5,12.5,far,10,3.378630705
364,365,premna,no,guam,ritd,S9,5,90.5,9.5,near,10,0.378630705
365,366,premna,no,guam,ritd,A2,8,89.75,10.25,near,10,1.128630705
366,367,premna,no,guam,ritd,D3,10,89,11,far,10,1.878630705
367,368,premna,no,guam,ritd,S9A,7,91,9,near,10,-0.121369295
368,369,premna,no,guam,ritd,A2A,9,91.5,8.5,near,10,-0.621369295
369,370,premna,no,guam,ritd,C4,10,88.75,11.25,far,10,2.128630705
370,371,premna,no,guam,ritd,B3,10,90.25,9.75,far,10,0.628630705
371,372,premna,no,guam,ritd,B0,3,93.25,6.75,far,10,-2.371369295
372,373,premna,no,guam,sblas,S4A,7,91.25,8.75,near,10,-0.371369295
373,374,premna,no,guam,sblas,E0,7,89.75,10.25,far,10,1.128630705
374,375,premna,no,guam,sblas,S4,5,90.75,9.25,near,10,0.128630705
375,376,premna,no,guam,sblas,B2,0,92.25,7.75,near,10,-1.371369295
376,377,premna,no,guam,sblas,C0,10,69,31,far,10,21.87863071
377,378,premna,no,guam,sblas,E3A,9,89.75,10.25,far,10,1.128630705
378,379,premna,no,guam,sblas,E1,6,90.5,9.5,far,10,0.378630705
379,380,premna,no,guam,sblas,B2A,0,89.75,10.25,near,10,1.128630705
380,381,premna,yes,rota,grvpt,S5,3,88.75,11.25,far,10,2.128630705
381,382,premna,yes,rota,grvpt,B3,1,93.25,6.75,near,10,-2.371369295
382,383,premna,yes,rota,grvpt,B2,2,92.25,7.75,near,10,-1.371369295
383,384,premna,yes,rota,grvpt,C4B,0,92.75,7.25,far,10,-1.871369295
384,385,premna,yes,rota,grvpt,A4,0,91.25,8.75,near,10,-0.371369295
385,386,premna,yes,rota,grvpt,D4,6,90.5,9.5,far,10,0.378630705
386,387,premna,yes,rota,grvpt,E0,4,90,10,far,10,0.878630705
387,388,premna,yes,rota,grvpt,S1,2,92,8,near,10,-1.121369295
389,390,premna,yes,rota,isa,S7,0,92.25,7.75,near,10,-1.371369295
390,391,premna,yes,rota,isa,C2,2,89.5,10.5,near,10,1.378630705
391,392,premna,yes,rota,isa,E3,3,90.25,9.75,near,10,0.628630705
392,393,premna,yes,rota,isa,D4,10,83,17,far,10,7.878630705
393,394,premna,yes,rota,isa,S3,5,91.75,8.25,near,10,-0.871369295
394,395,premna,yes,rota,isa,D3A,10,89,11,far,10,1.878630705
395,396,premna,yes,rota,isa,C3A,0,91,9,far,10,-0.121369295
396,397,premna,yes,rota,palii,S8,1,93.5,6.5,near,10,-2.621369295
397,398,premna,yes,rota,palii,D0,8,93.25,6.75,far,10,-2.371369295
398,399,premna,yes,rota,palii,B3A,10,93.25,6.75,far,10,-2.371369295
399,400,premna,yes,rota,palii,C0A,1,92.5,7.5,near,10,-1.621369295
400,401,premna,yes,rota,palii,E2,3,94,6,far,10,-3.121369295
401,402,premna,yes,rota,palii,A1B,1,94.25,5.75,near,10,-3.371369295
402,403,premna,yes,rota,palii,A4,0,94.75,5.25,near,10,-3.871369295
403,404,premna,yes,rota,palii,C3,7,91.5,8.5,far,10,-0.621369295
404,405,premna,yes,saipan,forb,A4A,3,92.25,7.75,far,10,-1.371369295
405,406,premna,yes,saipan,forb,C2,1,93.5,6.5,far,10,-2.621369295
406,407,premna,yes,saipan,forb,S7,0,94.25,5.75,far,10,-3.371369295
407,408,premna,yes,saipan,forb,E2A,0,87.75,12.25,near,10,3.128630705
408,409,premna,yes,saipan,forb,E2,0,88.5,11.5,near,10,2.378630705
409,410,premna,yes,saipan,forb,E0,1,92,8,near,10,-1.121369295
410,411,premna,yes,saipan,forb,B0,8,92,8,far,10,-1.121369295
411,412,premna,yes,saipan,forb,E0A,0,93.25,6.75,near,10,-2.371369295
412,413,premna,yes,saipan,ladt,S3,2,94.5,5.5,near,10,-3.621369295
413,414,premna,yes,saipan,ladt,D2,0,88.75,11.25,far,10,2.128630705
414,415,premna,yes,saipan,ladt,A0,9,84.5,15.5,far,10,6.378630705
415,416,premna,yes,saipan,ladt,S1,0,93,7,near,10,-2.121369295
416,417,premna,yes,saipan,ladt,B4,4,93.25,6.75,near,10,-2.371369295
417,418,premna,yes,saipan,ladt,D0,2,93,7,far,10,-2.121369295
418,419,premna,yes,saipan,ladt,A1,1,92,8,near,10,-1.121369295
419,420,premna,yes,saipan,ladt,B3,0,90.25,9.75,far,10,0.628630705
420,421,premna,yes,saipan,mtr1,D1A,5,91,9,near,10,-0.121369295
421,422,premna,yes,saipan,mtr1,S4,1,90.25,9.75,near,10,0.628630705
422,423,premna,yes,saipan,mtr1,B2,1,88,12,near,10,2.878630705
423,424,premna,yes,saipan,mtr1,D2,0,87.5,12.5,far,10,3.378630705
424,425,premna,yes,saipan,mtr1,S2,4,93.5,6.5,far,10,-2.621369295
425,426,premna,yes,saipan,mtr1,B4,3,90,10,near,10,0.878630705
426,427,premna,yes,saipan,mtr1,C3,6,87.5,12.5,far,10,3.378630705
427,428,premna,yes,saipan,mtr1,B0,0,89.75,10.25,far,10,1.128630705
436,437,premna,yes,tinian,japc,D2,6,90,10,far,10,0.878630705
437,438,premna,yes,tinian,japc,B0,0,91.75,8.25,far,10,-0.871369295
438,439,premna,yes,tinian,japc,A1A,0,94.5,5.5,near,10,-3.621369295
439,440,premna,yes,tinian,japc,E2,0,93.5,6.5,near,10,-2.621369295
440,441,premna,yes,tinian,japc,A4A,1,94,6,near,10,-3.121369295
441,442,premna,yes,tinian,japc,S5,1,87.5,12.5,near,10,3.378630705
442,443,premna,yes,tinian,japc,E0,0,95.5,4.5,far,10,-4.621369295
443,444,premna,yes,tinian,japc,B4,0,94.25,5.75,far,10,-3.371369295
444,445,premna,yes,tinian,nlasu,D4,0,95.5,4.5,near,10,-4.621369295
445,446,premna,yes,tinian,nlasu,E0,0,93,7,far,10,-2.121369295
446,447,premna,yes,tinian,nlasu,E4,0,92.25,7.75,far,10,-1.371369295
447,448,premna,yes,tinian,nlasu,D2,0,91.5,8.5,far,10,-0.621369295
448,449,premna,yes,tinian,nlasu,A3,0,92.5,7.5,near,10,-1.621369295
449,450,premna,yes,tinian,nlasu,C2A,0,91.5,8.5,near,10,-0.621369295
450,451,premna,yes,tinian,nlasu,E4A,0,91.75,8.25,far,10,-0.871369295
451,452,premna,yes,tinian,nlasu,C0,0,94.5,5.5,near,10,-3.621369295
452,453,psychotria,no,guam,nblas,S13A,9,79.5,20.5,near,10,11.37863071
453,454,psychotria,no,guam,nblas,S15A,7,91,9,near,10,-0.121369295
454,455,psychotria,no,guam,nblas,S18,9,88,12,far,10,2.878630705
455,456,psychotria,no,guam,nblas,S13,6,87.25,12.75,near,10,3.628630705
456,457,psychotria,no,guam,nblas,S5,6,92.75,7.25,far,10,-1.871369295
457,458,psychotria,no,guam,nblas,A3,10,93.75,6.25,far,10,-2.871369295
458,459,psychotria,no,guam,nblas,S15,9,87.5,12.5,near,10,3.378630705
459,460,psychotria,no,guam,nblas,A0,8,92,8,far,10,-1.121369295
460,461,psychotria,no,guam,race,S7A,6,94.25,5.75,near,10,-3.371369295
461,462,psychotria,no,guam,race,S9,9,92,8,far,10,-1.121369295
462,463,psychotria,no,guam,race,S7,9,90.75,9.25,near,10,0.128630705
463,464,psychotria,no,guam,race,E3,2,93.5,6.5,far,10,-2.621369295
464,465,psychotria,no,guam,race,S5,9,89.25,10.75,near,10,1.628630705
465,466,psychotria,no,guam,race,S5A,9,91,9,near,10,-0.121369295
466,467,psychotria,no,guam,race,B0A,10,84,16,far,10,6.878630705
467,468,psychotria,no,guam,race,D0,9,90.5,9.5,far,10,0.378630705
468,469,psychotria,no,guam,sblas,A2A,9,92.75,7.25,far,10,-1.871369295
469,471,psychotria,no,guam,sblas,C2,7,91.75,8.25,near,10,-0.871369295
470,472,psychotria,no,guam,sblas,C2A,8,91.75,8.25,near,10,-0.871369295
471,473,psychotria,no,guam,sblas,S2,7,91,9,far,10,-0.121369295
472,474,psychotria,no,guam,sblas,S5,7,91.5,8.5,near,10,-0.621369295
473,475,psychotria,no,guam,sblas,S5A,9,93.5,6.5,near,10,-2.621369295
474,476,psychotria,no,guam,sblas,S7,10,89.75,10.25,far,10,1.128630705
475,477,psychotria,yes,rota,grvpt,E1,10,88,12,far,10,2.878630705
476,478,psychotria,yes,rota,grvpt,A4A,10,93.25,6.75,near,10,-2.371369295
477,479,psychotria,yes,rota,grvpt,A0A,10,94.25,5.75,far,10,-3.371369295
478,480,psychotria,yes,rota,grvpt,A1A,10,92.5,7.5,far,10,-1.621369295
479,481,psychotria,yes,rota,grvpt,A3,10,76.75,23.25,near,10,14.12863071
480,482,psychotria,yes,rota,grvpt,B4A,6,91.75,8.25,near,10,-0.871369295
481,483,psychotria,yes,rota,grvpt,D0A,8,90,10,far,10,0.878630705
482,484,psychotria,yes,rota,grvpt,E0A,9,91,9,near,10,-0.121369295
483,485,psychotria,yes,rota,isa,C0,10,89.75,10.25,near,10,1.128630705
484,486,psychotria,yes,rota,isa,E4,9,94,6,far,10,-3.121369295
485,487,psychotria,yes,rota,isa,E2,10,87.75,12.25,far,10,3.128630705
486,488,psychotria,yes,rota,isa,D1A,7,93.75,6.25,far,10,-2.871369295
487,489,psychotria,yes,rota,isa,A3,10,90,10,far,10,0.878630705
488,490,psychotria,yes,rota,isa,S1,9,89.75,10.25,near,10,1.128630705
489,491,psychotria,yes,rota,isa,C0A,8,89.75,10.25,near,10,1.128630705
490,492,psychotria,yes,rota,isa,S5,1,93.25,6.75,near,10,-2.371369295
491,493,psychotria,yes,rota,palii,A1A,7,93.25,6.75,near,10,-2.371369295
492,494,psychotria,yes,rota,palii,S2,10,87.25,12.75,far,10,3.628630705
493,495,psychotria,yes,rota,palii,E1A,8,92,8,far,10,-1.121369295
494,496,psychotria,yes,rota,palii,S7,2,93.25,6.75,near,10,-2.371369295
495,497,psychotria,yes,rota,palii,A2A,9,92.5,7.5,near,10,-1.621369295
496,498,psychotria,yes,rota,palii,S4,10,93.5,6.5,near,10,-2.621369295
497,499,psychotria,yes,rota,palii,A0,4,92.25,7.75,far,10,-1.371369295
498,500,psychotria,yes,rota,palii,B2,7,91.5,8.5,far,10,-0.621369295
499,501,psychotria,yes,saipan,forb,Z*A4B,10,92.5,7.5,near,10,-1.621369295
500,502,psychotria,yes,saipan,forb,S8,10,95,5,far,10,-4.121369295
501,503,psychotria,yes,saipan,forb,D0,9,95.5,4.5,far,10,-4.621369295
502,504,psychotria,yes,saipan,forb,E4,10,92.75,7.25,far,10,-1.871369295
503,505,psychotria,yes,saipan,forb,Z*A4A,9,90,10,near,10,0.878630705
504,506,psychotria,yes,saipan,forb,S3,10,93.75,6.25,far,10,-2.871369295
505,507,psychotria,yes,saipan,ladt,C1,4,93.25,6.75,far,10,-2.371369295
506,508,psychotria,yes,saipan,ladt,C4A,10,90,10,near,10,0.878630705
507,509,psychotria,yes,saipan,ladt,E4,4,93.75,6.25,near,10,-2.871369295
508,510,psychotria,yes,saipan,ladt,B4A,3,93.25,6.75,near,10,-2.371369295
509,511,psychotria,yes,saipan,ladt,A2A,8,89.25,10.75,far,10,1.628630705
510,512,psychotria,yes,saipan,ladt,A4,5,92,8,far,10,-1.121369295
511,513,psychotria,yes,saipan,ladt,B1,5,92.5,7.5,near,10,-1.621369295
512,514,psychotria,yes,saipan,ladt,B2,5,90.75,9.25,far,10,0.128630705
513,515,psychotria,yes,saipan,mtr1,A2A,9,89.75,10.25,far,10,1.128630705
514,516,psychotria,yes,saipan,mtr1,E3,10,91.25,8.75,far,10,-0.371369295
515,517,psychotria,yes,saipan,mtr1,A0A,5,89.75,10.25,near,10,1.128630705
516,518,psychotria,yes,saipan,mtr1,A3A,9,90,10,near,10,0.878630705
517,519,psychotria,yes,saipan,mtr1,C4A,8,90.5,9.5,far,10,0.378630705
518,520,psychotria,yes,saipan,mtr1,E1A,10,87.75,12.25,near,10,3.128630705
519,521,psychotria,yes,saipan,mtr1,E4,9,92.75,7.25,far,10,-1.871369295
520,522,psychotria,yes,saipan,mtr1,D1B,6,94,6,near,10,-3.121369295
