,island,site,trt,germ,species,seed_input
345,Tinian,JPCC,UH,0,premna,1
346,Tinian,JPCC,UH,0,premna,1
347,Tinian,JPCC,UH,0,premna,1
348,Tinian,JPCC,UH,0,premna,1
349,Tinian,JPCC,HA,0,premna,1
350,Tinian,JPCC,HA,0,premna,1
351,Tinian,JPCC,HA,0,premna,1
354,Tinian,JPCC,UH,0,premna,1
355,Tinian,JPCC,UH,0,premna,1
356,Tinian,JPCC,UH,0,premna,1
357,Tinian,JPCC,UH,0,premna,1
358,Tinian,JPCC,HA,0,premna,1
359,Tinian,CHNE,HA,0,premna,1
360,Tinian,CHNE,HA,0,premna,1
361,Tinian,CHNE,HA,0,premna,1
365,Tinian,CHNE,UH,0,premna,1
366,Tinian,CHNE,UH,0,premna,1
367,Tinian,CHNE,UH,0,premna,1
368,Tinian,CHNE,UH,0,premna,1
369,Tinian,CHNE,UH,0,premna,1
370,Tinian,CHNE,HA,0,premna,1
371,Tinian,CHNE,HA,0,premna,1
374,Tinian,CHNE,UH,0,premna,1
375,Tinian,CHNE,UH,0,premna,1
376,Tinian,CHNE,HA,0,premna,1
382,Tinian,CHNE,UH,0,premna,1
383,Tinian,CHNE,UH,0,premna,1
384,Tinian,CHNE,UH,0,premna,1
385,Tinian,CHNE,UH,0,premna,1
386,Tinian,CHNE,HA,0,premna,1
387,Tinian,CHNE,UH,0,premna,1
388,Tinian,CHNE,UH,0,premna,1
389,Saipan,LTPT,UH,0,premna,1
390,Saipan,LTPT,UH,0,premna,1
391,Saipan,LTPT,HA,0,premna,1
392,Saipan,LTPT,HA,0,premna,1
393,Saipan,LTPT,HA,0,premna,1
394,Saipan,LTPT,HA,0,premna,1
395,Saipan,LTPT,HA,0,premna,1
399,Saipan,LTPT,UH,0,premna,1
400,Saipan,LTPT,UH,0,premna,1
401,Saipan,LTPT,UH,0,premna,1
402,Saipan,LTPT,HA,0,premna,1
403,Saipan,LTPT,HA,0,premna,1
404,Saipan,LTPT,HA,0,premna,1
405,Saipan,LTPT,HA,0,premna,1
410,Saipan,LTPT,UH,0,premna,1
411,Saipan,LTPT,UH,0,premna,1
412,Saipan,LTPT,UH,0,premna,1
413,Saipan,LTPT,HA,0,premna,1
414,Saipan,LTPT,HA,0,premna,1
415,Saipan,LTPT,HA,0,premna,1
416,Saipan,LTPT,HA,0,premna,1
417,Saipan,LTPT,HA,0,premna,1
422,Saipan,LTPT,UH,0,premna,1
423,Saipan,LTPT,UH,0,premna,1
424,Saipan,LTPT,HA,0,premna,1
428,Rota,JCPN,UH,0,premna,1
429,Rota,JCPN,HA,0,premna,1
431,Rota,JCPN,UH,0,premna,1
432,Rota,JCPN,UH,0,premna,1
434,Rota,JCPN,UH,0,premna,1
435,Saipan,TR1L,UH,0,premna,1
436,Tinian,CHNE,HA,0,psycho,1
437,Tinian,CHNE,HA,1,psycho,1
444,Tinian,CHNE,UH,0,psycho,1
445,Tinian,CHNE,UH,0,psycho,1
446,Tinian,CHNE,UH,0,psycho,1
447,Tinian,CHNE,UH,0,psycho,1
448,Tinian,CHNE,UH,0,psycho,1
449,Tinian,CHNE,UH,0,psycho,1
452,Tinian,CHNE,UH,1,psycho,1
453,Tinian,CHNE,UH,0,psycho,1
454,Tinian,CHNE,UH,0,psycho,1
455,Tinian,CHNE,UH,0,psycho,1
456,Tinian,CHNE,HA,1,psycho,1
457,Tinian,CHNE,HA,1,psycho,1
458,Tinian,CHNE,HA,0,psycho,1
459,Tinian,CHNE,HA,1,psycho,1
460,Tinian,CHNE,HA,0,psycho,1
462,Tinian,CHNE,UH,0,psycho,1
463,Tinian,CHNE,HA,0,psycho,1
464,Tinian,CHNE,HA,0,psycho,1
465,Tinian,CHNE,HA,1,psycho,1
466,Tinian,CHNE,HA,0,psycho,1
467,Tinian,CHNE,HA,0,psycho,1
468,Tinian,CHNE,HA,1,psycho,1
469,Tinian,CHNE,HA,0,psycho,1
470,Tinian,CHNE,HA,0,psycho,1
471,Tinian,CHNE,HA,1,psycho,1
472,Tinian,CHNE,HA,1,psycho,1
473,Tinian,CHNE,HA,1,psycho,1
474,Tinian,CHNE,HA,0,psycho,1
477,Rota,PALI,UH,0,psycho,1
478,Rota,PALI,UH,0,psycho,1
479,Rota,PALI,UH,1,psycho,1
480,Rota,PALI,UH,1,psycho,1
481,Rota,PALI,HA,1,psycho,1
482,Rota,PALI,HA,1,psycho,1
483,Rota,PALI,HA,0,psycho,1
484,Rota,PALI,HA,1,psycho,1
485,Rota,PALI,HA,1,psycho,1
486,Rota,PALI,HA,1,psycho,1
489,Rota,PALI,UH,0,psycho,1
495,Saipan,TR1T,UH,0,psycho,1
496,Saipan,TR1T,UH,0,psycho,1
497,Saipan,TR1T,UH,0,psycho,1
498,Saipan,TR1T,UH,0,psycho,1
499,Saipan,TR1T,UH,1,psycho,1
500,Saipan,TR1T,UH,0,psycho,1
501,Saipan,TR1T,HA,1,psycho,1
502,Saipan,TR1T,HA,1,psycho,1
503,Saipan,TR1T,HA,1,psycho,1
504,Saipan,TR1T,HA,1,psycho,1
505,Saipan,TR1T,HA,0,psycho,1
506,Saipan,TR1T,HA,1,psycho,1
513,Saipan,TR1T,UH,0,psycho,1
514,Saipan,TR1T,UH,0,psycho,1
515,Saipan,TR1T,UH,0,psycho,1
516,Saipan,TR1T,UH,0,psycho,1
517,Saipan,TR1T,UH,0,psycho,1
518,Saipan,TR1T,UH,1,psycho,1
519,Saipan,TR1T,HA,1,psycho,1
520,Saipan,TR1T,HA,1,psycho,1
521,Saipan,TR1T,HA,0,psycho,1
522,Saipan,TR1T,HA,0,psycho,1
523,Saipan,TR1T,HA,1,psycho,1
524,Saipan,TR1T,HA,0,psycho,1
525,Saipan,TR1T,HA,1,psycho,1
526,Saipan,TR1T,HA,1,psycho,1
527,Saipan,TR1T,HA,0,psycho,1
528,Saipan,TR1T,HA,1,psycho,1
529,Saipan,TR1T,HA,1,psycho,1
530,Saipan,TR1T,HA,0,psycho,1
531,Saipan,TR1T,HA,1,psycho,1
536,Saipan,TR1T,UH,0,psycho,1
537,Saipan,TR1T,UH,0,psycho,1
538,Saipan,TR1T,UH,0,psycho,1
539,Saipan,TR1T,HA,1,psycho,1
540,Saipan,TR1T,HA,1,psycho,1
541,Saipan,TR1T,HA,1,psycho,1
542,Saipan,TR1T,HA,0,psycho,1
543,Saipan,TR1T,HA,1,psycho,1
544,Saipan,TR1T,HA,1,psycho,1
545,Saipan,TR1T,HA,1,psycho,1
546,Saipan,TR1T,HA,0,psycho,1
547,Saipan,TR1T,HA,1,psycho,1
548,Saipan,TR1T,HA,1,psycho,1
549,Saipan,TR1T,HA,1,psycho,1
550,Saipan,TR1T,HA,1,psycho,1
551,Saipan,TR1T,HA,0,psycho,1
552,Saipan,TR1T,HA,0,psycho,1
553,Saipan,TR1T,HA,1,psycho,1
554,Saipan,TR1T,HA,1,psycho,1
555,Saipan,TR1T,HA,1,psycho,1
556,Saipan,TR1T,HA,1,psycho,1
557,Saipan,TR1T,HA,1,psycho,1
558,Saipan,TR1T,HA,1,psycho,1
564,Tinian,CHBT,UH,0,psycho,1
565,Tinian,CHBT,UH,0,psycho,1
566,Tinian,CHBT,UH,0,psycho,1
567,Tinian,CHBT,UH,0,psycho,1
568,Tinian,CHBT,UH,0,psycho,1
569,Tinian,CHBT,UH,0,psycho,1
570,Tinian,CHBT,HA,1,psycho,1
571,Tinian,CHBT,HA,1,psycho,1
572,Tinian,CHBT,HA,0,psycho,1
573,Tinian,CHBT,HA,0,psycho,1
574,Tinian,CHBT,HA,1,psycho,1
575,Tinian,CHBT,HA,0,psycho,1
581,Tinian,CHBT,UH,0,psycho,1
582,Tinian,CHBT,UH,0,psycho,1
583,Tinian,CHBT,UH,0,psycho,1
584,Tinian,CHBT,UH,0,psycho,1
585,Tinian,CHBT,UH,0,psycho,1
586,Tinian,CHBT,HA,0,psycho,1
587,Tinian,CHBT,HA,1,psycho,1
588,Tinian,CHBT,HA,0,psycho,1
589,Tinian,CHBT,HA,1,psycho,1
590,Tinian,CHBT,HA,0,psycho,1
591,Tinian,CHBT,HA,0,psycho,1
596,Tinian,CHBT,UH,0,psycho,1
597,Tinian,CHBT,UH,0,psycho,1
598,Tinian,CHBT,UH,0,psycho,1
599,Tinian,CHBT,UH,0,psycho,1
600,Tinian,CHBT,UH,0,psycho,1
601,Tinian,CHBT,UH,0,psycho,1
602,Tinian,CHBT,HA,1,psycho,1
603,Tinian,CHBT,HA,0,psycho,1
604,Tinian,CHBT,HA,1,psycho,1
608,Tinian,CHBT,UH,0,psycho,1
609,Tinian,CHBT,UH,0,psycho,1
646,Rota,JCPS,HA,1,psycho,1
647,Rota,JCPS,HA,0,psycho,1
648,Rota,JCPS,HA,0,psycho,1
649,Rota,JCPS,HA,0,psycho,1
650,Rota,JCPS,HA,0,psycho,1
651,Rota,JCPS,HA,0,psycho,1
658,Rota,JCPS,UH,0,psycho,1
659,Rota,JCPS,UH,1,psycho,1
660,Rota,JCPS,UH,1,psycho,1
661,Rota,JCPS,UH,0,psycho,1
662,Rota,JCPS,UH,0,psycho,1
663,Rota,JCPS,UH,0,psycho,1
664,Rota,JCPS,HA,1,psycho,1
665,Rota,JCPS,HA,0,psycho,1
666,Rota,JCPS,HA,0,psycho,1
667,Rota,JCPS,HA,0,psycho,1
668,Rota,JCPS,HA,0,psycho,1
669,Rota,JCPS,HA,1,psycho,1
672,Rota,JCPS,UH,0,psycho,1
673,Rota,JCPS,UH,0,psycho,1
674,Rota,JCPS,HA,1,psycho,1
677,Saipan,TR1F,UH,0,psycho,1
678,Saipan,TR1F,UH,0,psycho,1
679,Saipan,TR1F,UH,0,psycho,1
680,Saipan,TR1F,UH,1,psycho,1
681,Saipan,TR1F,UH,0,psycho,1
682,Saipan,TR1F,UH,0,psycho,1
683,Saipan,TR1F,UH,0,psycho,1
684,Saipan,TR1F,HA,1,psycho,1
685,Saipan,TR1F,HA,1,psycho,1
686,Saipan,TR1F,HA,1,psycho,1
687,Saipan,TR1F,HA,0,psycho,1
688,Saipan,TR1F,HA,1,psycho,1
689,Saipan,TR1F,HA,0,psycho,1
690,Saipan,TR1F,HA,0,psycho,1
691,Saipan,TR1F,HA,0,psycho,1
692,Saipan,TR1F,HA,0,psycho,1
693,Saipan,TR1F,HA,0,psycho,1
694,Saipan,TR1F,HA,1,psycho,1
695,Saipan,TR1F,HA,1,psycho,1
696,Saipan,TR1F,HA,1,psycho,1
702,Saipan,TR1F,UH,0,psycho,1
703,Saipan,TR1F,UH,0,psycho,1
704,Saipan,TR1F,UH,0,psycho,1
705,Saipan,TR1F,UH,0,psycho,1
706,Saipan,TR1F,UH,1,psycho,1
707,Saipan,TR1F,UH,0,psycho,1
708,Saipan,TR1F,HA,0,psycho,1
709,Saipan,TR1F,HA,1,psycho,1
710,Saipan,TR1F,HA,1,psycho,1
711,Saipan,TR1F,HA,1,psycho,1
712,Saipan,TR1F,HA,1,psycho,1
716,Saipan,TR1F,UH,0,psycho,1
717,Saipan,TR1F,UH,0,psycho,1
718,Saipan,TR1F,UH,0,psycho,1
719,Saipan,TR1F,UH,0,psycho,1
720,Saipan,TR1F,UH,0,psycho,1
721,Saipan,TR1F,HA,1,psycho,1
722,Saipan,TR1F,HA,1,psycho,1
723,Saipan,TR1F,HA,1,psycho,1
724,Saipan,TR1F,HA,1,psycho,1
725,Saipan,TR1F,HA,0,psycho,1
726,Saipan,TR1F,HA,1,psycho,1
727,Saipan,TR1F,HA,1,psycho,1
728,Saipan,TR1F,HA,1,psycho,1
729,Saipan,TR1F,HA,1,psycho,1
730,Saipan,TR1F,HA,1,psycho,1
731,Saipan,TR1F,HA,1,psycho,1
732,Saipan,TR1F,HA,1,psycho,1
733,Saipan,TR1F,HA,1,psycho,1
734,Saipan,TR1F,HA,1,psycho,1
735,Saipan,TR1F,HA,1,psycho,1
736,Tinian,JAPC,UH,1,psycho,1
737,Tinian,JAPC,UH,1,psycho,1
738,Tinian,JAPC,UH,0,psycho,1
739,Tinian,JAPC,UH,0,psycho,1
740,Tinian,JAPC,UH,1,psycho,1
741,Tinian,JAPC,UH,0,psycho,1
742,Tinian,JAPC,HA,1,psycho,1
743,Tinian,JAPC,HA,0,psycho,1
744,Tinian,JAPC,HA,1,psycho,1
745,Tinian,JAPC,HA,1,psycho,1
746,Tinian,JAPC,HA,0,psycho,1
753,Tinian,JAPC,UH,1,psycho,1
754,Tinian,JAPC,UH,0,psycho,1
755,Tinian,JAPC,UH,0,psycho,1
756,Tinian,JAPC,UH,0,psycho,1
757,Tinian,JAPC,UH,0,psycho,1
758,Tinian,JAPC,UH,0,psycho,1
759,Tinian,JAPC,HA,1,psycho,1
760,Tinian,JAPC,HA,0,psycho,1
761,Tinian,JAPC,HA,0,psycho,1
762,Tinian,JAPC,HA,1,psycho,1
763,Tinian,JAPC,HA,0,psycho,1
764,Tinian,JAPC,HA,0,psycho,1
771,Tinian,JAPC,UH,0,psycho,1
772,Tinian,JAPC,UH,0,psycho,1
773,Tinian,JAPC,UH,0,psycho,1
774,Tinian,JAPC,UH,0,psycho,1
775,Tinian,JAPC,UH,0,psycho,1
776,Tinian,JAPC,UH,0,psycho,1
777,Tinian,JAPC,HA,1,psycho,1
778,Tinian,JAPC,HA,0,psycho,1
779,Tinian,JAPC,HA,0,psycho,1
780,Tinian,JAPC,HA,0,psycho,1
781,Tinian,JAPC,HA,0,psycho,1
782,Tinian,JAPC,HA,1,psycho,1
789,Tinian,JAPC,UH,0,psycho,1
790,Tinian,JAPC,UH,1,psycho,1
791,Tinian,JAPC,HA,0,psycho,1
794,Tinian,CHLC,HA,1,psycho,1
795,Tinian,CHLC,HA,0,psycho,1
796,Tinian,CHLC,HA,0,psycho,1
797,Tinian,CHLC,HA,0,psycho,1
798,Tinian,CHLC,HA,1,psycho,1
805,Tinian,CHLC,UH,0,psycho,1
806,Tinian,CHLC,UH,0,psycho,1
807,Tinian,CHLC,UH,0,psycho,1
808,Tinian,CHLC,UH,0,psycho,1
809,Tinian,CHLC,UH,0,psycho,1
810,Tinian,CHLC,HA,0,psycho,1
811,Tinian,CHLC,HA,0,psycho,1
812,Tinian,CHLC,HA,0,psycho,1
813,Tinian,CHLC,HA,0,psycho,1
814,Tinian,CHLC,HA,0,psycho,1
815,Tinian,CHLC,UH,0,psycho,1
816,Tinian,CHLC,UH,0,psycho,1
817,Tinian,CHLC,UH,0,psycho,1
818,Tinian,CHLC,UH,0,psycho,1
819,Tinian,CHLC,UH,0,psycho,1
826,Tinian,CHLC,UH,0,psycho,1
827,Tinian,CHLC,UH,0,psycho,1
828,Tinian,CHLC,UH,0,psycho,1
829,Tinian,CHLC,UH,0,psycho,1
830,Tinian,CHLC,UH,0,psycho,1
831,Tinian,CHLC,UH,0,psycho,1
838,Tinian,CHLC,UH,0,psycho,1
839,Tinian,CHLC,UH,0,psycho,1
840,Tinian,CHLC,UH,0,psycho,1
841,Tinian,CHLC,UH,0,psycho,1
842,Tinian,CHLC,UH,0,psycho,1
843,Tinian,CHLC,UH,0,psycho,1
850,Tinian,CHLC,UH,0,psycho,1
851,Tinian,CHLC,UH,0,psycho,1
854,Rota,JCP ,UH,1,psycho,1
855,Rota,JCP ,UH,0,psycho,1
856,Rota,JCP ,UH,0,psycho,1
857,Rota,JCP ,UH,0,psycho,1
858,Rota,JCP ,UH,0,psycho,1
859,Rota,JCP ,UH,0,psycho,1
866,Rota,JCP ,UH,0,psycho,1
867,Rota,JCP ,UH,0,psycho,1
868,Rota,JCP ,UH,0,psycho,1
