"","Scientific","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","BodyMass.Value","taxon"
"3317","Crocidura stenocephala",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",21,"mammal"
"3318","Crocidura suaveolens",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",5.19,"mammal"
"3319","Crocidura susiana",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3320","Crocidura tanakae",50,0,10,0,0,40,0,0,0,0,"Ref_2","D1",10.42,"mammal"
"3321","Crocidura tansaniana",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3322","Crocidura tarella",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3323","Crocidura tarfayensis",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",6.5,"mammal"
"3324","Crocidura sibirica",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3325","Crocidura eisentrauti",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3326","Crocidura floweri",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3327","Crocidura crossei",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",6.9,"mammal"
"3328","Crocidura cyanea",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",9.35,"mammal"
"3329","Crocidura denti",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",7,"mammal"
"3330","Crocidura desperata",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3331","Crocidura dhofarensis",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",5.8,"mammal"
"3332","Crocidura dolichura",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",5.7,"mammal"
"3333","Crocidura congobelgica",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3334","Crocidura dsinezumi",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.21,"mammal"
"3335","Crocidura cinderella",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3336","Crocidura elgonius",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",6.5,"mammal"
"3337","Crocidura allex",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3338","Crocidura aleksandrisi",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3339","Crocidura luna",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",14.5,"mammal"
"3340","Crocidura lusitania",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",2,"mammal"
"3341","Crocidura elongata",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",17.8,"mammal"
"3342","Crocidura andamanensis",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3343","Crocidura fischeri",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3344","Crocidura douceti",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",4.3,"mammal"
"3345","Crocidura beatus",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.55,"mammal"
"3346","Crocidura ansellorum",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3347","Crocidura arabica",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",5.86,"mammal"
"3348","Crocidura arispa",50,0,10,0,0,40,0,0,0,0,"Ref_2","D1",10.42,"mammal"
"3349","Crocidura armenica",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3350","Crocidura attenuata",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",14.27,"mammal"
"3351","Crocidura attila",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3352","Crocidura baileyi",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3353","Crocidura crenata",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",6.52,"mammal"
"3354","Crocidura batesi",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",15.5,"mammal"
"3355","Crocidura flavescens",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",28.49,"mammal"
"3356","Crocidura beccarii",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3357","Crocidura bottegi",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",3.5,"mammal"
"3358","Crocidura bottegoides",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",3.07,"mammal"
"3359","Crocidura brunnea",50,0,10,0,0,40,0,0,0,0,"Ref_2","D1",10.42,"mammal"
"3360","Crocidura buettikoferi",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3361","Crocidura caliginea",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
